id,title,price,release_date,quantity,description,key_search
0,FIGMA STYLES FEMALE BODY (YUKI) WITH TECHWEAR OUTFIT,1980000,3/2022,5," Giá cập nhật tháng 5/2021 : 1.980.000đ, figma Styles Female body (Yuki) with Techwear Outfit, Nhân vật : Yuki, Series :  figma, Hãng sản xuất : Max Factory, Kích thước : 13cm , Phát hành : 3/2022, Female body Techwear Outfit figma Max Factory Yuki ","  5/2021  1.980.000d, figma Styles Female body (Yuki) with Techwear Outfit,   Yuki,    figma,   Max Factory,   13cm ,   3/2022, Female body Techwear Outfit figma Max Factory Yuki "
1,"1/6 PURE NEEMO CHARACTER SERIES NO.132 ""TOUHOU PROJECT"" MARISA KIRISAME",5850000,9/2021,5," Giá cập nhật tháng 4/2021 : 5.850.000đ, 1/6 Pure Neemo Character Series No.132 ""Touhou Project"" Marisa Kirisame, Nhân vật : Marisa Kirisame, Series :  Touhou Project, Tỷ lệ : 1/6, Hãng sản xuất : Azone International, Kích thước : 24cm , Phát hành : 9/2021, Azone International Character Series No.132 Pure Neemo 1/6 Marisa Kirisame Touhou Project ","  4/2021  5.850.000d, 1/6 Pure Neemo Character  No.132 ""Touhou Project"" Marisa Kirisame,   Marisa Kirisame,    Touhou Project,   1/6,   Azone International,   24cm ,   9/2021, Azone International Character  No.132 Pure Neemo 1/6 Marisa Kirisame Touhou Project "
2,NIER REPLICANT VER.1.22474487139... BRING ARTS BOY NIER,2700000,11/2021,5," Giá cập nhật tháng 4/2021 : 2.700.000đ, NieR Replicant ver.1.22474487139... BRING ARTS Boy NieR, Nhân vật : NieR, Series :  NieR Replicant, Hãng sản xuất : Square Enix, Kích thước : 13.9cm , Phát hành : 11/2021, NieR Replicant NieR Square Enix Boy NieR BRING ARTS NieR Replicant ver.1.22474487139... ","  4/2021  2.700.000d, NieR Replicant ver.1.22474487139... BRING ARTS Boy NieR,   NieR,    NieR Replicant,   Square Enix,   13.9cm ,   11/2021, NieR Replicant NieR Square Enix Boy NieR BRING ARTS NieR Replicant ver.1.22474487139... "
3,MODEROID DARLING IN THE FRANXX STRELITZIA PLASTIC MODEL,1850000,9/2021,5," Giá cập nhật tháng 4/2021 : 1.850.000đ, MODEROID DARLING in the FRANXX Strelitzia Plastic Model, Nhân vật : Strelitzia, Series :  DARLING in the FRANXX, Hãng sản xuất : Good Smile Company, Kích thước : 18cm , Phát hành : 9/2021, Good Smile Company MODEROID DARLING in the FRANXX Strelitzia Plastic Model ","  4/2021  1.850.000d, MODEROID DARLING in the FRANXX Strelitzia Plastic Model,   Strelitzia,    DARLING in the FRANXX,   Good Smile Company,   18cm ,   9/2021, Good Smile Company MODEROID DARLING in the FRANXX Strelitzia Plastic Model "
4,FIGMA DEMON SLAYER: KIMETSU NO YAIBA ZENITSU AGATSUMA,2480000,12/2021,5," Giá cập nhật tháng 4/2021 : 2.480.000đ, figma Demon Slayer: Kimetsu no Yaiba Zenitsu Agatsuma, Nhân vật : Zenitsu Agatsuma, Series :  Demon Slayer: Kimetsu no Yaiba, Hãng sản xuất : Max Factory, Kích thước : 13cm , Phát hành : 12/2021, Demon Slayer Kimetsu no Yaiba figma Max Factory Zenitsu Agatsuma Demon Slayer: Kimetsu no Yaiba ","  4/2021  2.480.000d, figma Demon Slayer Kimetsu no Yaiba Zenitsu Agatsuma,   Zenitsu Agatsuma,    Demon Slayer Kimetsu no Yaiba,   Max Factory,   13cm ,   12/2021, Demon Slayer Kimetsu no Yaiba figma Max Factory Zenitsu Agatsuma Demon Slayer Kimetsu no Yaiba "
5,FIGMA DEMON SLAYER: KIMETSU NO YAIBA ZENITSU AGATSUMA DX EDITION,2780000,12/2021,5," Giá cập nhật tháng 4/2021 : 2.780.000đ, figma Demon Slayer: Kimetsu no Yaiba Zenitsu Agatsuma DX Edition, Nhân vật : Zenitsu Agatsuma, Series :  Demon Slayer: Kimetsu no Yaiba, Hãng sản xuất : Max Factory, Kích thước : 13cm , Phát hành : 12/2021, DX Edition Demon Slayer figma Kimetsu no Yaiba Zenitsu Agatsuma Max Factory ","  4/2021  2.780.000d, figma Demon Slayer Kimetsu no Yaiba Zenitsu Agatsuma DX Edition,   Zenitsu Agatsuma,    Demon Slayer Kimetsu no Yaiba,   Max Factory,   13cm ,   12/2021, DX Edition Demon Slayer figma Kimetsu no Yaiba Zenitsu Agatsuma Max Factory "
6,SUPER ACTION STATUE FIST OF THE NORTH STAR JAGI,2550000,9/2021,5," Giá cập nhật tháng 4/2021 : 2.550.000đ, Super Action Statue Fist of the North Star Jagi, Nhân vật : Jagi, Series :  Fist of the North Star (Hokuto no Ken), Hãng sản xuất : Genco, Kích thước : 17.5cm , Phát hành : 9/2021, Super Action Statue Fist of the North Star Medicos Entertainment Hokuto no Ken Jagi ","  4/2021  2.550.000d, Super Action Statue Fist of the North Star Jagi,   Jagi,    Fist of the North Star (Hokuto no Ken),   Genco,   17.5cm ,   9/2021, Super Action Statue Fist of the North Star Medicos Entertainment Hokuto no Ken Jagi "
7,SUPER ACTION STATUE JOJO'S BIZARRE ADVENTURE PART.5 M.B,2380000,8/2021,5," Giá cập nhật tháng 4/2021 : 2.380.000đ, Super Action Statue JoJo's Bizarre Adventure Part.5 M.B, Nhân vật : M.B, Series : JoJo's Bizarre Adventure Part.5, Hãng sản xuất : Medicos Entertainment, Kích thước : 16cm , Phát hành : 8/2021, JoJo's Bizarre Adventure Part.5 Medicos Entertainment M.B Super Action Statue JoJo's Bizarre Adventure ","  4/2021  2.380.000d, Super Action Statue JoJo's Bizarre Adventure Part.5 M.B,   M.B,   JoJo's Bizarre Adventure Part.5,   Medicos Entertainment,   16cm ,   8/2021, JoJo's Bizarre Adventure Part.5 Medicos Entertainment M.B Super Action Statue JoJo's Bizarre Adventure "
8,SUPER ACTION STATUE JOJO'S BIZARRE ADVENTURE PART.5 LEONE ABBACCHIO,2380000,8/2021,5," Giá cập nhật tháng 4/2021 : 2.380.000đ, Super Action Statue JoJo's Bizarre Adventure Part.5 Leone Abbacchio, Nhân vật : Leone Abbacchio, Series : JoJo's Bizarre Adventure Part.5, Hãng sản xuất : Medicos Entertainment, Kích thước : 16cm , Phát hành : 8/2021, JoJo's Bizarre Adventure Part.5 Leone Abbacchio Super Action Statue JoJo's Bizarre Adventure ","  4/2021  2.380.000d, Super Action Statue JoJo's Bizarre Adventure Part.5 Leone Abbacchio,   Leone Abbacchio,   JoJo's Bizarre Adventure Part.5,   Medicos Entertainment,   16cm ,   8/2021, JoJo's Bizarre Adventure Part.5 Leone Abbacchio Super Action Statue JoJo's Bizarre Adventure "
9,PLAMAX GP-03 GUILTY PRINCESS MAIDROID CHLOE,2200000,11/2021,5," Giá cập nhật tháng 4/2021 : 2.200.000đ, PLAMAX GP-03 Guilty Princess Maidroid Chloe, Nhân vật : Maidroid Chloe, Series :  Guilty Princess, Hãng sản xuất : Max Factory, Kích thước : 16cm , Phát hành : 11/2021, Maidroid Chloe PLAMAX GP-03 Guilty Princess Max Factory ","  4/2021  2.200.000d, PLAMAX GP-03 Guilty Princess Maidroid Chloe,   Maidroid Chloe,    Guilty Princess,   Max Factory,   16cm ,   11/2021, Maidroid Chloe PLAMAX GP-03 Guilty Princess Max Factory "
