id,publisher
0,Max Factory
1,Azone International
2,Square Enix
3,Good Smile Company
4,Max Factory
5,Max Factory
6,Genco
7,Medicos Entertainment
8,Medicos Entertainment
9,Max Factory
10,Snail Shell Studio
11,Storm Collectibles
12,Sentinel
13,Kotobukiya
14,Max Factory
15,Max Factory
16,Max Factory
17,Max Factory
18,TB League 
19,TB League 
20,Max Factory
21,Max Factory
22,Medicos Entertainment
23,Medicos Entertainment
24,Kotobukiya
25,Max Factory
26,Kotobukiya
27,Good Smile Company
28,Aoshima
29,Good Smile Company
30,Max Factory
31,Max Factory
32,Max Factory
33,Good Smile Company
34,Good Smile Company
35,Max Factory
36,Max Factory
37,Snail Shell Studio
38,APEX
39,Max Factory
40,Max Factory
41,Japan
42,Japan
43,Bandai Spirits
44,Max Factory
45,Good Smile Company
46,Kotobukiya
47,Square Enix
48,Square Enix
49,VTOYS
50,Max Factory
51,Medicos Entertainment
52,Square Enix
53,Square Enix
54,Max Factory
55,Bandai Spirits
56,Bandai Spirits
57,Bandai Spirits
58,Bandai Spirits
59,Bandai Spirits
60,Bandai Spirits
61,Bandai Spirits
62,Daibadi Production 
63,So-ta
64,Max Factory
65,Azone International
66,Azone International
67,Max Factory
68,Bandai
69,Max Factory
70,Bandai Spirits
71,Bandai Spirits
72,Bandai Spirits
73,Bandai Spirits
74,Bandai Spirits
75,Takara Tomy
76,Max Factory
77,Max Factory
78,Max Factory
79,Good Smile Company
80,Bandai Spirits
81,Bandai Spirits
82,Bandai Spirits
83,Good Smile Company
84,Square Enix
85,Square Enix
86,Kotobukiya
87,Square Enix
88,Square Enix
89,Max Factory
90,Max Factory
91,Azone International
92,Max Factory
93,Aoshima
94,Max Factory
95,Max Factory
96,Max Factory
97,Kotobukiya
98,Kaiyodo
99,Gomora Kick
100,Medicos Entertainment
101,Medicos Entertainment
102,Good Smile Company
103,Good Smile Company
104,Good Smile Company
105,Good Smile Company
106,Bandai Spirits
107,Max Factory
108,Kotobukiya
109,Sentinel
110,Max Factory
111,Max Factory
112,Medicos Entertainment
113,Medicos Entertainment
114,Square Enix
115,Square Enix
116,Square Enix
117,Square Enix
118,Azone International
119,Azone International
120,Kotobukiya
121,Kaiyodo
122,Kotobukiya
123,Max Factory
124,Square Enix
125,Square Enix
126,Square Enix
127,Bandai Spirits
128,Max Factory
129,Max Factory
130,Max Factory
131,Kaiyodo
132,Medicom Toy
133,Medicos Entertainment
134,Good Smile Company
135,Aniplex
136,Kadokawa
137,Snail Shell Studio
138,Kotobukiya
139,Kotobukiya
140,KEMO
141,KEMO
142,Max Factory
143,Flame Toys
144,Kotobukiya
145,Square Enix
146,Sentinel
147,"FunnyKnights, Aoshima"
148,Kotobukiya
149,Kaiyodo
150,Kotobukiya
151,Kotobukiya
152,Medicos Entertainment
153,Max Factory
154,Bandai Spirits
155,Square Enix
156,Square Enix
157,Square Enix
158,Max Factory
159,MegaHouse
160,Wave
161,Good Smile Company
162,Snail Shell Studio
163,Daibadi Production
164,Max Factory
165,Max Factory
166,MegaHouse
167,Max Factory
168,Kotobukiya
169,Medicos Entertainment
170,Square Enix
171,Bandai Spirits
172,Bandai Spirits
173,Bandai Spirits
174,Bandai Spirits
175,Bandai Spirits
176,Kotobukiya
177,Max Factory
178,Max Factory
179,Max Factory
180,Kaiyodo
181,TOYSEIIKI
182,Bandai Spirits
183,Good Smile Company
184,Storm Collectibles
185,Medicom Toy
186,Bandai Spirits
187,Japan
188,APEX
189,Good Smile Company
190,Medicos Entertainment
191,Kotobukiya
192, Daikatori Omocha
193,Daikatori Omocha
194,Max Factory
195,FREEing
196,Good Smile Racing
197,Medicom Toy
198,Medicom Toy
199,1000toys
200,Kaiyodo
201,Kaiyodo
202,Kotobukiya
203,Kotobukiya
204,Medicos Entertainment
205,Bandai Spirits
206,Bandai Spirits
207,Good Smile Racing
208,Square Enix
209,Square Enix
210,Square Enix
211,TOYSEIIKI
212,Good Smile Company
213,Max Factory
214,Japan
215,Japan
216,Japan
217,Japan
218,Japan
219,Japan
220,Japan
221,Japan
222,Japan
223,Japan
224,Japan
225,Japan
226,Japan
227,Japan
228,Japan
229,Japan
230,Japan
231,Japan
232,Japan
233,Japan
234,Japan
235,Japan
236,Japan
237,Japan
238,Japan
239,Japan
240,Japan
241,Japan
242,Japan
243,Japan
244,Japan
245,Japan
246,Japan
247,Japan
248,Japan
249,Japan
250,Japan
251,Japan
252,Japan
253,Japan
254,Japan
255,Japan
256,Japan
257,Japan
258,Japan
259,Japan
260,Japan
261,Japan
262,Japan
263,Japan
264,Japan
265,Japan
266,Japan
267,Japan
268,Japan
269,Japan
270,Japan
271,Japan
272,Japan
273,Japan
274,Japan
275,Japan
276,Japan
277,Japan
278,Japan
279,Japan
280,Japan
281,Japan
282,Japan
283,Japan
284,Japan
285,Japan
286,Japan
287,Japan
288,Japan
289,Japan
290,Japan
291,Japan
292,Japan
293,Japan
294,Japan
295,Japan
296,Japan
297,Japan
298,Japan
299,Japan
300,Japan
301,Japan
302,Japan
303,Japan
304,Japan
305,Japan
306,Japan
307,Japan
308,Japan
309,Japan
310,Japan
311,Japan
312,Japan
313,Japan
314,Japan
315,Japan
316,Japan
317,Japan
318,Japan
319,Japan
320,Japan
321,Japan
322,Japan
323,Japan
324,Japan
325,Japan
326,Japan
327,Japan
328,Japan
329,Japan
330,Japan
331,Japan
332,Japan
333,Japan
334,Japan
335,Japan
336,Japan
337,Japan
338,Japan
339,Japan
340,Japan
341,Japan
342,Japan
343,Japan
344,Japan
345,Japan
346,Japan
347,Japan
348,Japan
349,Japan
