id,tag_name
0,Female body
0,Techwear Outfit
0,figma
0,Max Factory
0,Yuki
0,action-figure
1,Azone International
1,Character Series No.132
1,Pure Neemo
1,1/6
1,Marisa Kirisame
1,Touhou Project
1,action-figure
2,NieR Replicant
2,NieR
2,Square Enix
2,Boy NieR
2,BRING ARTS
2,NieR Replicant ver.1.22474487139...
2,action-figure
3,Uradilena Milise
3,Lena
3,Eighty Six
3,Stronger
3,1/7
3,86
3,1/7 Scale Figure
3,scale-figure
4,Gyaru Sniper
4,illustration
4,Nidy-2D-
4,1/6
4,STD
4,Alphamax
4,scale-figure
5,1/6
5,illustration
5,DX
5,Nidy-2D-
5,Gyaru Sniper
5,18+
5,Skytube
5,scale-figure
6,Nakajima Atsushi
6,Bungou Stray Dogs
6,Good Smile Company
6,Nendoroid
6,chibi-figure
7,Epilogue Dress
7,Disney
7,Frozen
7,Nendoroid
7,Elsa
7,Good Smile Company
7,Frozen 2
7,chibi-figure
8,Disney
8,Frozen
8,Nendoroid
8,Epilogue Dress
8,Good Smile Company
8,Frozen 2
8,Anna
8,chibi-figure
